Trukker Geo map Expressions ,,,,,
Sno. ,Country ,City ,Locations ,Geolocation Coordinates ,
,,,,Latitude ,Longitude 
1,India ,Bangalore,Bangalore,12° 58' 20.7912'' N,77° 34' 50.3148'' E
2,UAE,Dubai,JLT Head Office Dubai ,"25° 4' 3.612"" N","55° 8' 19.8096"" E"
3,UAE,Ras Al Khaima ,Rak ,25° 48' 2.4984'' N,55° 58' 34.3200'' E
4,UAE,Dubai,Aweer ,"25° 10' 32.52"" N","55° 20' 53.16"" E"
5,UAE,Abhu Dhabi ,Maffraq,"24° 28' 0.0012"" N","54° 22' 0.0012"" E"
6,UAE,Abhu Dhabi ,Adnoc 893 ,24° 27' 41.5260'' N,54° 19' 23.7972'' E
7,Bahrain,Sitra ,Sitra ,"26° 08' 60.00"" N","50° 36' 59.99"" E"
8,Turkey,Istanbul ,Istanbul ,41° 0' 54.4932'' N,28° 58' 46.3080'' E
9,Oman,Muscat ,Muscat ,23° 36' 51.5808'' N,58° 32' 43.0224'' E
10,Oman,Sohar ,Sohar ,"24° 21' 59.99"" N","56° 44' 59.99"" E"
11,Oman,Salalah,Salalah ,"17° 00' 54.18"" N","54° 05' 32.53"" E"
12,KSA,Jeddah,Jeddah,21° 29' 33.0000'' N,39° 10' 39.2520'' E
13,KSA,Yanbu,Yanbu,24° 11' 12.6528'' N,38° 1' 35.1408'' E
14,KSA,Dammam,Dammam,26° 23' 57.3000'' N,49° 59' 3.6960'' E
15,KSA,Riyadh,Riyadh ,24° 46' 27.3540'' N,46° 44' 18.9096'' E
16,KSA,Jubail ,Jubail ,"27° 00' 40.39"" N","49° 39' 29.70"" E"
17,Jordan,Amman ,Amman ,31° 57' 47.3688'' N,35° 55' 49.2924'' E
18,Jordan,Sahab,Sahab ," 31° 52' 1.20"" N","36° 00' 0.00"" E"
19,Poland ,Warsaw,Warsaw,52° 11' 46.3812'' N,21° 10' 41.6100'' E
20,Kazakhstan,Almaty ,Almaty ,43° 14' 20.2164'' N,76° 53' 22.9524'' E
21,Egypt,Cairo ,Cario ,30° 1' 59.9988'' N,31° 14' 0.0024'' E
22,Egypt,Alexandria,Alexandria ,31° 12' 20.7108'' N,29° 55' 28.2936'' E
23,Egypt,Damietta,Damietta ,31° 25' 3.1440'' N,31° 48' 51.9984'' E
24,Egypt,Ain Sokhna ,Ain Sokhna ,"29° 36' 0.65"" N","32° 19' 0.16"" E"
25,Egypt,Port Said ,Port Said ,"31° 15' 23.54"" N","32° 17' 2.80"" E"
,,,,,