Countries / FIN POC /HR POC,SREEJITH/RAM (INDIA),,,SREEJITH/WISSAM (UAE),,,"PRIME
SREEJITH/WISSAM (UAE)",,,BHARATH/WISSAM(OMAN),,,ANKITA/WISSAM(BAHRN),,,MEGHA/DEYA(KSA),,,SALAM/FATHY(EGYPT),,,BHARAT/FATHY(JORDAN),,,BURGA/YESIM(TURKEY),,,BURGA/YESIM(KZK),,,BURGA/NATALIA(POLAND),,
Asset Type,Apr '20 ~ Mar '21,Apr '21 ~ Mar '22,Apr '22 ~ Mar '23,Apr '20 ~ Mar '21,Apr '21 ~ Mar '22,Apr '22 ~ Mar '23,Apr '20 ~ Mar '21,Apr '21 ~ Mar '22,Apr '22 ~ Mar '23,Apr '20 ~ Mar '21,Apr '21 ~ Mar '22,Apr '22 ~ Mar '23,Apr '20 ~ Mar '21,Apr '21 ~ Mar '22,Apr '22 ~ Mar '23,Apr '20 ~ Mar '21,Apr '21 ~ Mar '22,Apr '22 ~ Mar '23,Apr '20 ~ Mar '21,Apr '21 ~ Mar '22,Apr '22 ~ Mar '23,Apr '20 ~ Mar '21,Apr '21 ~ Mar '22,Apr '22 ~ Mar '23,Apr '20 ~ Mar '21,Apr '21 ~ Mar '22,Apr '22 ~ Mar '23,Apr '20 ~ Mar '21,Apr '21 ~ Mar '22,Apr '22 ~ Mar '23,Apr '20 ~ Mar '21,Apr '21 ~ Mar '22,Apr '22 ~ Mar '23
Mobile,759,"9,549",0,0,0,0,0,0,0,0,0,0,0,0,0,855,"5,300","1,413",0,0,0,0,0,"2,250",0,"11,061","3,067",0,0,0,0,0,0
Network Providers - SIM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"4,399","1,104",489,0,0,0,0,0,0,0,0,0,0,0,0
Laptop,"75,105","1,32,091","42,162",,,,0,0,0,0,0,"1,272",0,0,0,"7,552","4,522","5,415","35,283","7,040",543,0,"1,939","7,584",0,0,0,0,0,"2,806","31,349","1,802","4,083"
Computers,"2,867","2,322",,"28,957","1,69,733","1,30,027",0,0,"7,992",0,0,,"3,048","1,192",424,,"1,105",295,"1,762",256,176,0,0,0,"13,221","6,803","10,980",0,0,0,0,0,"5,956"
Network Providers - Internet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,36,10,"3,515","1,139","1,289",0,0,0,0,0,0,0,0,0,0,0,0
TV,0,0,0,0,0,0,0,0,0,0,329,666,0,0,0,0,0,0,"1,587",0,0,0,"1,052",71,"1,375",0,878,0,0,0,0,0,0
Projectors,422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camera,"1,951","7,953",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Printer, Copiers","1,179",0,0,0,0,0,0,0,0,,0,480,0,0,0,837,"1,823",659,"5,922","2,309",377,0,423,522,442,0,0,0,0,0,0,0,0
Computer Accessories,213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,512",798,588,0,0,0,340,"1,216",0,0,0,0,0,0,0
Conference Communicators,0,0,"4,411",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,600,0,0,0,0,0,0,0
Speakers,0,0,"2,014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,778,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Annual IT Main Cost,"82,495","1,51,914","48,588","28,957","1,69,733","1,30,027",0,0,"7,992",0,329,"2,417","3,048","1,192",424,"9,381","12,786","7,791","1,291","1,035",988,0,"3,414","10,427","15,378","19,680","14,925",0,0,"2,806","31,349","1,802","10,039"